user_id,rmse,algorithm,ref_p1,ref_p2,ref_p3,pred_p1,pred_p2,pred_p3
1344,0.30639625759246264,weighted_average,0.04,0.37,0.04,0.42800000000000005,0.446,0.394
1344,0.4615712090103958,lr,0.04,0.37,0.04,0.5841535061005303,0.584368229799355,0.5850570307895739
1350,0.24109196032496258,weighted_average,0.69,0.65,0.3,0.33799999999999997,0.46399999999999997,0.4259999999999999
1350,0.1802100818345174,lr,0.69,0.65,0.3,0.5088181818181818,0.47415384615384615,0.4835164835164835
1354,0.21799082549501939,weighted_average,0.42,0.24,0.4,0.41200000000000003,0.58,0.5640000000000001
1354,0.10023100311684405,lr,0.42,0.24,0.4,0.4138675367433196,0.4122103611475428,0.4210890105330895
1359,0.4134037574413985,weighted_average,0.03,0.1,0.6,0.5780000000000001,0.5519999999999999,0.51
1359,0.6689611743750749,lr,0.03,0.1,0.6,0.8598002806000964,0.8634979290653024,0.8665137240234237
1353,0.36138437523870165,weighted_average,0.36,0.0,0.28,0.558,0.4840000000000001,0.624
1353,0.9802367752047583,lr,0.36,0.0,0.28,1.171796459775407,1.1829977967366374,1.1877968534886254
