,user_id,questionnaire_id,created_at,mtq01,mtq02,mtq03,mtq04,mtq05,mtq06,mtq07,mtq08,mtq09,mtq10,mtq11,mtq12
0,4,2,2018-08-20 12:11:01,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE
1,6,2,2018-08-20 12:20:35,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE,PARTLYTRUE
